age_BP,T_anomaly,Code,Location,Reference,Proxy_type,Notes
513,-1.53,1,HalaSultan,Kaniewskietal2020,Pollen,
537,-1.28,1,HalaSultan,Kaniewskietal2020,Pollen,
562,-0.07,1,HalaSultan,Kaniewskietal2020,Pollen,
592,-0.08,1,HalaSultan,Kaniewskietal2020,Pollen,
623,-1.58,1,HalaSultan,Kaniewskietal2020,Pollen,
675,0.72,1,HalaSultan,Kaniewskietal2020,Pollen,
691,-0.17,1,HalaSultan,Kaniewskietal2020,Pollen,
710,0.4,1,HalaSultan,Kaniewskietal2020,Pollen,
730,-0.42,1,HalaSultan,Kaniewskietal2020,Pollen,
842,-0.97,1,HalaSultan,Kaniewskietal2020,Pollen,
955,-0.41,1,HalaSultan,Kaniewskietal2020,Pollen,
1067,0.62,1,HalaSultan,Kaniewskietal2020,Pollen,
1123,0.82,1,HalaSultan,Kaniewskietal2020,Pollen,
1179,-0.13,1,HalaSultan,Kaniewskietal2020,Pollen,
1404,-1.03,1,HalaSultan,Kaniewskietal2020,Pollen,
1685,-0.79,1,HalaSultan,Kaniewskietal2020,Pollen,
1741,-1.73,1,HalaSultan,Kaniewskietal2020,Pollen,
1853,-0.8,1,HalaSultan,Kaniewskietal2020,Pollen,
1966,-0.61,1,HalaSultan,Kaniewskietal2020,Pollen,
2078,-0.8,1,HalaSultan,Kaniewskietal2020,Pollen,
2190,-0.22,1,HalaSultan,Kaniewskietal2020,Pollen,
2303,-0.86,1,HalaSultan,Kaniewskietal2020,Pollen,
2415,0.79,1,HalaSultan,Kaniewskietal2020,Pollen,
2527,-0.14,1,HalaSultan,Kaniewskietal2020,Pollen,
2584,-0.43,1,HalaSultan,Kaniewskietal2020,Pollen,
2640,-0.22,1,HalaSultan,Kaniewskietal2020,Pollen,
2707,-0.25,1,HalaSultan,Kaniewskietal2020,Pollen,
2741,0.13,1,HalaSultan,Kaniewskietal2020,Pollen,
2808,-1.08,1,HalaSultan,Kaniewskietal2020,Pollen,
2864,-2.33,1,HalaSultan,Kaniewskietal2020,Pollen,
2943,-0.58,1,HalaSultan,Kaniewskietal2020,Pollen,
2977,-0.79,1,HalaSultan,Kaniewskietal2020,Pollen,
3201,-2.55,1,HalaSultan,Kaniewskietal2020,Pollen,
3258,0.27,1,HalaSultan,Kaniewskietal2020,Pollen,
3290,-0.05,1,HalaSultan,Kaniewskietal2020,Pollen,
3308,0.7,1,HalaSultan,Kaniewskietal2020,Pollen,
3325,-0.5,1,HalaSultan,Kaniewskietal2020,Pollen,
3343,0.34,1,HalaSultan,Kaniewskietal2020,Pollen,
3360,1.15,1,HalaSultan,Kaniewskietal2020,Pollen,
3378,1.24,1,HalaSultan,Kaniewskietal2020,Pollen,
3395,0.97,1,HalaSultan,Kaniewskietal2020,Pollen,
